School Name, Rk, Gtm, Date, , Opp, Type,Score Rslt,Score Tm,Score Opp,Score OT,Advanced ORtg,Advanced DRtg,Advanced Pace,Advanced FTr,Advanced 3PAr,Advanced TS%,Advanced TRB%,Advanced AST%,Advanced STL%,Advanced BLK%,Offensive Four Factors eFG%,Offensive Four Factors TOV%,Offensive Four Factors ORB%,Offensive Four Factors FT/FGA,Defensive Four Factors eFG%,Defensive Four Factors TOV%,Defensive Four Factors DRB%,Defensive Four Factors FT/FGA
Abilene Christian,1,1,2024-11-04,,Howard Payne,REG (Non-Conf),W,107,74,,110.6,76.5,96.8,.452,.178,.603,81.1,38.1,9.3,10.3,.596,26.5,75.0,.274,.344,13.2,25.0,.238
Abilene Christian,2,2,2024-11-09,,Middle Tennessee,REG (Non-Conf),L,56,79,,78.0,110.1,71.8,.510,.286,.460,49.2,47.4,11.1,11.6,.408,23.8,28.1,.327,.567,16.3,71.9,.183
Abilene Christian,3,3,2024-11-12,,McMurry,REG (Non-Conf),W,101,55,,130.6,71.1,77.4,.108,.405,.649,58.3,56.1,18.1,14.3,.642,10.4,30.3,.081,.336,22.4,69.7,.327
Abilene Christian,4,4,2024-11-16,,Texas State,REG (Non-Conf),W,72,60,,105.5,87.9,68.3,.449,.265,.606,60.4,58.3,16.1,13.8,.571,24.2,33.3,.327,.446,21.4,66.7,.730
Abilene Christian,5,5,2024-11-20,@,Kennesaw State,REG (Non-Conf),L,78,84,,106.3,114.5,73.4,.508,.254,.532,40.0,59.3,17.7,8.0,.500,8.7,20.7,.322,.622,23.9,79.3,.805
Abilene Christian,6,6,2024-11-25,N,Southern Mississippi,REG (Non-Conf),W,82,74,,120.4,108.7,68.1,.851,.191,.621,57.4,50.0,11.7,6.1,.543,15.4,40.0,.660,.561,15.7,60.0,.388
Abilene Christian,7,7,2024-11-26,@,Montana State,REG (Non-Conf),L,59,85,,91.6,131.9,64.4,.207,.310,.463,40.4,45.8,9.3,8.3,.440,9.9,18.8,.138,.750,18.8,81.3,.200
Abilene Christian,8,8,2024-11-30,@,Omaha,REG (Non-Conf),W,71,55,,104.9,81.2,67.7,.352,.241,.563,48.1,42.3,16.2,7.1,.519,13.7,15.4,.278,.420,22.4,84.6,.409
Abilene Christian,9,9,2024-12-04,@,New Mexico State,REG (Non-Conf),W,78,70,,121.5,109.0,64.2,.778,.356,.633,53.7,39.1,14.0,3.4,.589,11.5,32.0,.556,.510,14.7,68.0,.380
Abilene Christian,10,10,2024-12-09,@,Baylor,REG (Non-Conf),L,57,88,,85.4,131.8,66.8,.418,.255,.432,43.5,52.6,9.0,7.3,.364,13.2,25.7,.309,.661,11.9,74.3,.169
