School Name,Rk,Gtm,Location,Opp,Type_adv,Score Rslt_adv,Score Tm_adv,Score Opp_adv,Score OT_adv,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,_bas,Type_bas,Score Rslt_bas,Score Tm_bas,Score Opp_bas,Score OT_bas,Advanced ORtg,Advanced DRtg,Advanced Pace,Advanced FTr,Advanced 3PAr,Advanced TS%,Advanced TRB%,Advanced AST%,Advanced STL%,Advanced BLK%,Offensive Four Factors eFG%,Offensive Four Factors TOV%,Offensive Four Factors ORB%,Offensive Four Factors FT/FGA,Defensive Four Factors eFG%,Defensive Four Factors TOV%,Defensive Four Factors DRB%,Defensive Four Factors FT/FGA
ABILENE CHRISTIAN,22.5,22.5,,,,,66.95,69.8,,24.5,57.9,0.42535,4.05,14.1,0.28925,20.45,43.8,0.47199999999999986,0.46020000000000005,13.9,19.3,0.7093499999999999,9.15,19.85,29.0,12.55,10.5,3.05,15.2,21.6,23.65,52.8,0.44575,4.7,16.8,0.27205,18.95,36.0,0.5275,0.48995,17.8,26.0,0.6841000000000002,9.8,23.15,32.95,12.2,8.55,5.6,17.1,17.0,,,,66.95,69.8,,91.95,96.19,71.92,0.34405,0.24489999999999998,0.50115,46.79,51.935,14.344999999999999,8.605,0.46020000000000005,18.490000000000002,28.134999999999998,0.24760000000000004,0.48995,20.69,71.865,0.34334999999999993
AIR FORCE,22.5,22.5,,,,,59.7,76.2,,20.15,51.65,0.39295,8.2,25.75,0.3229,11.95,25.9,0.4699,0.472,11.2,17.35,0.6457,6.35,21.0,27.35,12.85,5.85,2.65,12.75,18.1,27.3,55.25,0.49845000000000006,7.5,20.2,0.3773,19.8,35.05,0.5670999999999998,0.56805,14.1,20.45,0.7006,7.95,25.15,33.1,13.15,7.65,3.85,9.45,16.15,,,,59.7,76.2,,90.08500000000001,115.085,65.59,0.35255000000000003,0.4976,0.4996499999999999,45.37,63.64,8.809999999999999,7.625000000000002,0.472,17.63,19.725,0.22510000000000002,0.56805,12.84,80.275,0.258
AKRON,25.5,25.5,,,,,85.5,76.4,,31.1,63.2,0.49260000000000004,10.15,27.45,0.36615000000000003,20.95,35.75,0.5870500000000001,0.5731499999999999,13.15,17.45,0.7409500000000001,8.95,25.0,33.95,17.75,7.2,4.1,11.0,17.95,26.75,61.8,0.43439999999999995,7.45,24.05,0.30794999999999995,19.3,37.75,0.51005,0.49444999999999995,15.45,21.0,0.7045999999999999,8.45,20.6,29.05,11.55,6.8,2.3,11.05,17.05,,,,85.5,76.4,,115.70500000000001,103.61499999999998,73.96499999999999,0.28165,0.4334999999999999,0.59885,54.065,56.55499999999999,9.73,11.040000000000001,0.5731499999999999,13.275,31.169999999999995,0.21280000000000002,0.49444999999999995,13.279999999999998,68.83,0.2511
ALABAMA,27.5,27.5,,,,,91.65,84.7,,31.6,63.9,0.49659999999999993,11.0,28.65,0.37224999999999997,20.6,35.25,0.587,0.5828,17.45,23.5,0.7434499999999999,9.0,27.9,36.9,17.2,5.85,4.05,11.9,19.25,30.35,68.7,0.4441,7.65,23.95,0.32045,22.7,44.75,0.5136000000000001,0.5002500000000001,16.35,23.15,0.7107500000000001,10.75,22.85,33.6,14.8,8.2,4.5,9.65,19.75,,,,91.65,84.7,,117.025,108.26000000000002,77.825,0.36869999999999997,0.4467499999999999,0.61255,52.415,54.220000000000006,7.474999999999999,8.84,0.5828,13.77,28.65,0.27409999999999995,0.5002500000000001,10.825,71.35,0.24595000000000006
ALABAMA A&M,22.5,22.5,,,,,70.0,77.15,,23.15,59.25,0.39255,7.8,25.7,0.30329999999999996,15.35,33.55,0.45424999999999993,0.45845,15.9,23.45,0.6863000000000001,11.45,20.9,32.35,12.5,7.8,4.0,15.7,20.85,26.05,56.15,0.4678999999999999,7.25,19.6,0.3617000000000001,18.8,36.55,0.51775,0.5336000000000001,17.8,26.1,0.7036000000000001,9.0,23.55,32.55,14.95,9.2,2.8,14.25,18.75,,,,70.0,77.15,,94.14,104.575,72.38000000000001,0.40049999999999997,0.4311999999999999,0.49655000000000005,49.72999999999999,54.54,10.355,10.750000000000002,0.45845,18.074999999999996,32.775,0.2707,0.5336000000000001,17.17,67.23,0.32219999999999993
ALABAMA STATE,26.5,26.5,,,,,69.55,66.3,,24.6,63.3,0.3901,8.3,26.5,0.3089,16.3,36.8,0.44349999999999995,0.4561,12.05,17.5,0.6838,9.95,23.75,33.7,11.05,8.15,3.0,8.2,17.65,22.9,55.15,0.41819999999999996,6.7,21.55,0.3081,16.2,33.6,0.48484999999999995,0.4786499999999999,13.8,20.5,0.6693000000000001,8.5,26.2,34.7,11.25,4.65,3.8,12.7,15.65,,,,69.55,66.3,,100.08,95.235,69.48499999999999,0.2782,0.41884999999999994,0.4878,49.17999999999999,44.68500000000001,11.715,8.890000000000002,0.4561,10.349999999999998,27.050000000000004,0.19245,0.4786499999999999,16.479999999999997,72.95000000000002,0.25589999999999996
ALBANY (NY),23.5,23.5,,,,,73.1,73.7,,26.65,61.0,0.43740000000000007,7.0,22.05,0.3155,19.65,38.95,0.5119499999999999,0.49510000000000004,12.8,18.15,0.7110500000000001,10.5,22.0,32.5,12.45,7.35,3.05,10.7,15.65,26.65,56.55,0.4732,6.85,19.55,0.3501500000000001,19.8,37.0,0.5387000000000001,0.53465,13.55,17.6,0.7847,7.3,22.9,30.2,12.75,6.15,5.3,12.0,15.2,,,,73.1,73.7,,104.94500000000001,105.52000000000002,68.845,0.30624999999999997,0.36595,0.5267000000000002,51.9,46.68999999999999,10.549999999999999,8.184999999999999,0.49510000000000004,13.35,31.18999999999999,0.21815,0.53465,15.514999999999997,68.815,0.24395000000000003
ALCORN STATE,22.5,22.5,,,,,68.95,66.2,,25.05,55.75,0.45289999999999997,5.0,15.75,0.3068,20.05,40.0,0.5065999999999999,0.49865000000000015,13.85,18.8,0.7309,9.25,21.8,31.05,10.15,6.85,2.5,11.15,16.1,23.9,54.85,0.43475,6.85,21.9,0.3087,17.05,32.95,0.5161499999999999,0.49675,11.55,16.75,0.68055,8.65,19.0,27.65,12.85,5.85,3.55,11.8,15.75,,,,68.95,66.2,,104.13,99.93499999999999,66.28,0.34685,0.28574999999999995,0.5363,53.105000000000004,41.120000000000005,10.354999999999999,7.340000000000001,0.49865000000000015,14.655000000000001,32.805,0.25649999999999995,0.49675,15.844999999999999,67.19500000000001,0.21620000000000003
AMERICAN,25.5,25.5,,,,,67.8,64.25,,23.75,53.25,0.44630000000000003,8.35,23.35,0.35600000000000004,15.4,29.9,0.51725,0.5247499999999998,11.95,15.55,0.7546,6.15,21.75,27.9,12.2,6.85,1.45,9.5,16.8,23.3,51.7,0.4521,6.65,20.2,0.33795000000000003,16.65,31.5,0.5301999999999999,0.5166999999999999,11.0,16.4,0.6637000000000001,7.05,22.45,29.5,12.3,5.3,2.9,11.5,15.2,,,,67.8,64.25,,105.84499999999998,100.33500000000001,63.55,0.29579999999999995,0.4381000000000001,0.5596500000000001,48.690000000000005,50.910000000000004,10.779999999999998,4.569999999999999,0.5247499999999998,13.55,21.270000000000003,0.22725,0.5166999999999999,16.275,78.73,0.21585000000000001
APPALACHIAN STATE,21.5,21.5,,,,,66.3,62.9,,23.2,54.1,0.43045,7.7,22.2,0.3568,15.5,31.9,0.48475,0.5026499999999999,12.2,18.25,0.66655,7.5,24.25,31.75,12.25,5.35,3.1,9.25,12.4,23.3,58.6,0.39794999999999997,6.9,22.5,0.3065,16.4,36.1,0.45994999999999997,0.45730000000000004,9.4,12.75,0.7458500000000001,8.7,24.1,32.8,11.6,5.85,3.6,8.65,15.7,,,,66.3,62.9,,102.80500000000002,97.345,64.14500000000001,0.34040000000000004,0.41050000000000003,0.53035,49.08,52.470000000000006,8.399999999999999,8.57,0.5026499999999999,12.85,23.359999999999996,0.22875,0.45730000000000004,11.9,76.645,0.16269999999999998
ARIZONA,27.5,27.5,,,,,82.55,77.15,,28.85,61.25,0.4711,7.7,21.75,0.35370000000000007,21.15,39.5,0.53735,0.5333499999999999,17.15,21.2,0.79455,10.3,25.55,35.85,15.6,7.0,4.75,11.0,17.4,27.2,62.1,0.43949999999999995,9.0,24.65,0.36534999999999995,18.2,37.45,0.4844500000000001,0.512,13.75,18.8,0.7349500000000001,8.4,20.0,28.4,13.7,5.8,3.1,9.7,17.25,,,,82.55,77.15,,114.425,107.095,71.73500000000001,0.3485,0.3544,0.5776499999999999,55.65,53.93499999999999,9.639999999999999,12.59,0.5333499999999999,13.3,33.935,0.2821,0.512,11.995,66.06500000000001,0.2254
ARIZONA STATE,23.5,23.5,,,,,72.15,80.55,,24.5,57.35,0.42715000000000003,8.3,24.2,0.3404,16.2,33.15,0.49215,0.4990499999999999,14.85,20.15,0.7368,6.7,21.05,27.75,12.15,4.8,3.8,11.6,17.75,27.85,60.15,0.4629,8.5,24.25,0.34875,19.35,35.9,0.53965,0.53365,16.35,21.25,0.762,8.5,25.75,34.25,15.15,7.55,3.7,10.6,17.8,,,,72.15,80.55,,99.725,111.41,70.82500000000002,0.35805000000000003,0.42394999999999994,0.5377500000000001,44.62,49.765,6.5600000000000005,10.625000000000002,0.4990499999999999,14.865,20.405,0.2625,0.53365,13.029999999999998,79.595,0.27485
ARKANSAS,26.5,26.5,,,,,75.55,75.0,,25.8,58.15,0.44385,6.7,21.05,0.31935,19.1,37.1,0.5146,0.5016999999999999,17.25,22.7,0.7504500000000001,8.1,24.1,32.2,13.0,7.25,5.3,11.15,16.9,26.25,62.5,0.42174999999999996,7.45,22.95,0.3262,18.8,39.55,0.47620000000000007,0.48179999999999995,15.05,19.9,0.7505999999999999,10.3,23.25,33.55,12.8,6.85,3.0,11.0,18.4,,,,75.55,75.0,,104.12,103.57000000000001,71.47,0.39825,0.3639,0.54785,49.019999999999996,50.480000000000004,10.030000000000003,13.535,0.5016999999999999,13.905000000000001,25.294999999999998,0.30195,0.48179999999999995,13.39,74.705,0.24894999999999995
ARKANSAS STATE,26.5,26.5,,,,,80.35,69.8,,28.05,64.1,0.43709999999999993,9.45,28.4,0.33825,18.6,35.7,0.52435,0.51035,14.8,19.8,0.7352000000000001,12.05,26.3,38.35,15.6,7.35,4.2,9.05,17.45,24.55,59.3,0.4164999999999999,5.75,19.6,0.2988,18.8,39.7,0.481,0.46579999999999994,14.95,20.5,0.7333000000000001,9.2,23.2,32.4,11.85,5.9,3.85,10.55,15.45,,,,80.35,69.8,,113.795,99.21499999999999,70.45,0.32070000000000004,0.44064999999999993,0.5468000000000001,54.129999999999995,55.105,10.42,10.31,0.51035,10.975000000000001,33.99499999999999,0.24034999999999992,0.46579999999999994,13.265,66.00500000000001,0.25705
ARKANSAS-PINE BLUFF,21.5,21.5,,,,,72.4,78.8,,26.75,59.05,0.45355,7.2,21.55,0.33744999999999997,19.55,37.5,0.5222000000000001,0.5143,11.7,20.95,0.5654999999999999,8.8,22.95,31.75,15.25,7.55,2.3,13.3,18.5,26.75,58.05,0.46255000000000007,8.85,24.75,0.35,17.9,33.3,0.5457000000000002,0.5386,16.45,24.05,0.6708000000000001,9.05,24.85,33.9,14.65,8.15,3.45,12.6,17.55,,,,72.4,78.8,,99.395,107.69499999999998,73.275,0.36289999999999994,0.36310000000000003,0.52675,48.575,56.339999999999996,10.2,6.915000000000001,0.5143,16.095000000000002,26.555,0.20425,0.5386,15.310000000000002,73.44999999999999,0.2888
ARMY,23.5,23.5,,,,,69.8,73.55,,25.65,59.9,0.43035000000000007,7.7,25.1,0.30795000000000006,17.95,34.8,0.51805,0.4951,10.8,15.9,0.6537999999999999,7.9,21.7,29.6,12.35,6.75,1.95,8.6,16.65,26.9,57.55,0.46855,8.3,24.7,0.33955,18.6,32.85,0.56555,0.54085,11.45,17.05,0.6634,9.0,25.7,34.7,13.75,5.05,2.9,11.05,15.55,,,,69.8,73.55,,102.61500000000001,107.98499999999999,67.07000000000001,0.27005,0.4200499999999999,0.51885,46.105,47.584999999999994,9.895,5.960000000000001,0.4951,11.345,23.025,0.18329999999999996,0.54085,14.415000000000001,76.97999999999999,0.20185
AUBURN,27.5,27.5,,,,,80.35,71.85,,27.9,61.95,0.4524,8.4,24.4,0.3423,19.5,37.55,0.5271,0.52105,16.15,22.75,0.7086000000000001,10.9,23.2,34.1,14.8,6.6,4.95,9.05,18.85,24.15,57.55,0.41994999999999993,6.35,21.75,0.28715,17.8,35.8,0.4981,0.4751999999999999,17.2,23.3,0.73255,8.65,22.25,30.9,10.75,5.95,3.65,11.2,19.1,,,,80.35,71.85,,112.77500000000002,101.20500000000001,70.57999999999998,0.3713000000000001,0.39695,0.55305,52.455000000000005,53.040000000000006,9.365,14.029999999999998,0.52105,11.120000000000001,32.32000000000001,0.26409999999999995,0.4751999999999999,14.040000000000001,67.67999999999999,0.30479999999999996
AUSTIN PEAY,23.5,23.5,,,,,75.8,78.05,,27.1,62.0,0.43879999999999997,9.4,25.6,0.37245,17.7,36.4,0.48685,0.5149,12.2,16.5,0.71535,7.9,22.25,30.15,13.85,6.45,2.85,8.1,17.25,27.45,58.55,0.4739999999999999,8.05,20.5,0.3919500000000001,19.4,38.05,0.5187,0.5444500000000001,15.1,20.5,0.7398,8.55,25.8,34.35,13.25,5.3,5.05,9.85,14.45,,,,75.8,78.05,,109.01500000000001,112.31500000000001,68.51,0.27465,0.41185,0.5438500000000001,47.010000000000005,50.809999999999995,9.290000000000001,7.875,0.5149,10.190000000000001,23.439999999999998,0.20439999999999997,0.5444500000000001,12.72,76.55999999999999,0.2626
BALL STATE,21.5,21.5,,,,,75.95,76.5,,25.7,55.85,0.46319999999999995,7.05,19.9,0.35645,18.65,35.95,0.5209999999999999,0.5271000000000001,17.5,24.6,0.7243499999999999,8.05,23.45,31.5,13.7,4.4,2.45,11.75,15.95,28.5,61.9,0.4615,7.7,25.05,0.3107,20.8,36.85,0.5618500000000001,0.52325,11.8,16.4,0.72065,8.3,21.95,30.25,14.75,6.6,3.3,8.95,20.1,,,,75.95,76.5,,107.06999999999998,108.42,69.94000000000001,0.446,0.3574,0.5643499999999999,50.769999999999996,53.44500000000001,6.1450000000000005,6.755,0.5271000000000001,14.790000000000001,26.434999999999995,0.31795000000000007,0.52325,11.285,73.565,0.1938
