School Name,Rk,Gtm,Score Tm_adv,Score OT_adv,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,_bas,Type_bas,Score Rslt_bas,Score OT_bas,Advanced ORtg,Advanced DRtg,Advanced Pace,Advanced FTr,Advanced 3PAr,Advanced TS%,Advanced TRB%,Advanced AST%,Advanced STL%,Advanced BLK%,Offensive Four Factors eFG%,Offensive Four Factors TOV%,Offensive Four Factors ORB%,Offensive Four Factors FT/FGA,Defensive Four Factors eFG%,Defensive Four Factors TOV%,Defensive Four Factors DRB%,Defensive Four Factors FT/FGA
ABILENE CHRISTIAN,30,30,65.4,,24.4,61.4,0.401,3.8,15,0.2716,20.6,46.4,0.4516,0.4326,12.8,16.8,0.7276,10.4,21,31.4,14.8,7.8,4.2,16.2,23.4,25.2,55.8,0.4524,3.4,14.2,0.2478,21.8,41.6,0.5296,0.4826,16,25.4,0.6138,9.4,23,32.4,12.8,7.4,6.6,16,16.6,,,,,87.22,93.3,72.92,0.2774,0.2496,0.4734,49.08,61.04,10.22,10.4,0.4326,18.98,30.44,0.209,0.4826,19,69.56,0.2952
AIR FORCE,30,30,57.8,,20.2,50,0.4052,7.6,25.8,0.2938,12.6,24.2,0.5374,0.48,9.8,15.4,0.6564,4.8,21.6,26.4,13.6,5.4,2,15,18.6,28.2,57,0.4938,7.8,23.2,0.3234,20.4,33.8,0.6032,0.5636,16.6,22.2,0.764,8,25,33,15.4,8.8,3.2,9,16,,,,,84.7,119.72,67.96,0.3138,0.5166,0.5034,44.56,67.12,7.96,5.72,0.48,20.76,17.24,0.1978,0.5636,11.78,82.76,0.2898
AKRON,33,33,85,,29.4,63.6,0.4632,10.4,27.4,0.3872,19,36.2,0.5286,0.5448,15.8,20.6,0.7666,9.8,20.4,30.2,14.4,8.2,4,7.4,15.2,28.8,61.2,0.4684,8.8,24,0.3542,20,37.2,0.53,0.5402,12.4,16.6,0.669,9.8,22.6,32.4,12.2,4.8,3,13,17.4,,,,,119,110.46,71.62,0.331,0.4272,0.579,48.64,47.48,11.32,10.68,0.5448,9.2,31.4,0.255,0.5402,15.62,68.6,0.2066
ALABAMA,35,35,86,,29.8,62.4,0.4812,11.4,31.2,0.3504,18.4,31.2,0.5948,0.5706,15,20.4,0.7424,7.8,26.4,34.2,19,6.4,4.8,11.2,17.6,31.4,69.6,0.4548,6.8,22.2,0.3158,24.6,47.4,0.5284,0.5036,15.2,20.8,0.7272,11.2,23.8,35,16,7.6,3.4,9,18,,,,,112.18,110.74,76.38,0.3294,0.4906,0.5966,49.5,62.64,8.38,9.98,0.5706,13.46,24.8,0.242,0.5036,10.3,75.2,0.2256
ALABAMA A&M,30,30,58.6,,19.4,51.6,0.3758,7,20.6,0.3256,12.4,31,0.3906,0.4442,12.8,19.6,0.6626,9,18.4,27.4,11.6,6,3.6,13.6,16.8,25.4,51.2,0.4926,8.6,19.8,0.433,16.8,31.4,0.5248,0.5762,14.8,18.4,0.8084,6.2,24,30.2,13.4,9.2,3.6,11.2,17.2,,,,,89.6,113.76,65.22,0.3792,0.3996,0.48,47.66,58.52,9.2,12.04,0.4442,18.24,27.48,0.2476,0.5762,15.72,72.54,0.2966
ALABAMA STATE,34,34,68.2,,25,65.2,0.3824,9,27.4,0.3246,16,37.8,0.4206,0.4514,9.2,15.2,0.5644,10.2,23.4,33.6,12.6,9.6,2.8,7.8,17,24.2,54.8,0.442,8.2,23.6,0.349,16,31.2,0.5218,0.5172,13,19.6,0.6856,8.2,27,35.2,13.2,4.4,4.8,13.4,15.8,,,,,97.82,99.46,69.68,0.2364,0.42,0.4694,48.94,50.82,13.68,8.82,0.4514,9.66,27.18,0.1434,0.5172,17.32,72.82,0.2358
ALBANY (NY),31,31,76.4,,28,63,0.4464,10,26,0.3916,18,37,0.4928,0.526,10.4,16,0.6686,12,22.8,34.8,14.6,7.4,5,9.4,15.4,26.6,55,0.4838,7.4,19.8,0.369,19.2,35.2,0.5482,0.553,13.2,17.6,0.7644,5.4,23,28.4,12.2,5,4.8,10.2,14.2,,,,,112.56,108.1,68.08,0.2562,0.4114,0.5428,55.12,51.42,10.82,13.26,0.526,11.74,34.42,0.1664,0.553,13.86,65.58,0.2414
ALCORN STATE,30,30,65.4,,25.2,56,0.4534,3.6,13.6,0.2474,21.6,42.4,0.5178,0.4868,11.4,16.4,0.6962,10,22.8,32.8,11,6.2,2.8,10,16.2,24.4,53.6,0.4558,7,18.8,0.3692,17.4,34.8,0.503,0.5206,9.4,15.6,0.607,7.6,19.4,27,12.8,4.4,1.8,11.8,13.2,,,,,101.74,101.06,64.52,0.2954,0.2476,0.5162,55.34,43.48,9.62,7.96,0.4868,13.56,34.2,0.2044,0.5206,16.18,65.8,0.1792
AMERICAN,33,33,71.2,,26.2,53.6,0.4892,10.6,25.2,0.424,15.6,28.4,0.5548,0.5884,8.2,11.6,0.6952,4.8,22.8,27.6,14,7.6,1.8,10.6,12.4,25,54,0.4654,7.8,23.4,0.3288,17.2,30.6,0.5708,0.5382,7.2,9.4,0.7526,5.8,21.6,27.4,14.2,6,3.2,12,13.6,,,,,109.96,100.2,64.8,0.2168,0.4692,0.6026,50.2,53.58,11.78,5.74,0.5884,15.18,17.7,0.1534,0.5382,17.06,82.3,0.134
APPALACHIAN STATE,29,29,62,,21.4,57.2,0.3724,6.8,23.6,0.2922,14.6,33.6,0.4256,0.433,12.4,20.2,0.6148,10,21.8,31.8,9.8,4.2,3.6,10,13,25.6,60.8,0.4232,8.6,24.6,0.3504,17,36.2,0.4704,0.4946,8.2,10.8,0.7686,9,26,35,14,5.6,6,8.6,17.4,,,,,93.42,103.18,64.46,0.353,0.414,0.463,47.7,45.36,6.46,10.1,0.433,13.04,27.88,0.2174,0.4946,11.6,72.12,0.1382
